"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stfgov","trstlgl","trstplt","trstprt","age","agea","hinctnt","hinctnta"
"ESS1e06_7",1,"6.7","23.11.2023",100102,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,8,8,7,,,32,10,
"ESS1e06_7",1,"6.7","23.11.2023",100104,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,4,6,6,,,19,88,
"ESS1e06_7",1,"6.7","23.11.2023",100106,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,2,4,1,,,64,4,
"ESS1e06_7",1,"6.7","23.11.2023",100110,"GB",1.0512,1.9455812,2.3268416,4.527059,,,,6,7,4,,,28,10,
"ESS1e06_7",1,"6.7","23.11.2023",100112,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,5,4,3,,,29,10,
"ESS1e06_7",1,"6.7","23.11.2023",100114,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,3,2,3,,,65,77,
"ESS1e06_7",1,"6.7","23.11.2023",100115,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,3,6,2,,,30,12,
"ESS1e06_7",1,"6.7","23.11.2023",100117,"GB",1.0512,1.5430702,2.3268416,3.5904799,,,,6,5,4,,,35,8,
"ESS1e06_7",1,"6.7","23.11.2023",100118,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,0,0,0,,,82,4,
"ESS1e06_7",1,"6.7","23.11.2023",100119,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,0,1,3,,,55,77,
"ESS1e06_7",1,"6.7","23.11.2023",100122,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,3,6,0,,,54,7,
"ESS1e06_7",1,"6.7","23.11.2023",100124,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,3,6,0,,,39,4,
"ESS1e06_7",1,"6.7","23.11.2023",100205,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,3,4,2,,,29,8,
"ESS1e06_7",1,"6.7","23.11.2023",100206,"GB",1.5768,2.483701,2.3268416,5.7791786,,,,6,5,4,,,26,9,
"ESS1e06_7",1,"6.7","23.11.2023",100207,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,6,7,6,,,18,88,
"ESS1e06_7",1,"6.7","23.11.2023",100211,"GB",1.0512,1.7785715,2.3268416,4.138454,,,,0,1,0,,,71,8,
"ESS1e06_7",1,"6.7","23.11.2023",100215,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,6,6,6,,,45,10,
"ESS1e06_7",1,"6.7","23.11.2023",100216,"GB",1.5768,2.3146055,2.3268416,5.3857203,,,,3,2,1,,,52,12,
"ESS1e06_7",1,"6.7","23.11.2023",100217,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,1,3,3,,,68,4,
"ESS1e06_7",1,"6.7","23.11.2023",100219,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,5,5,3,,,33,9,
"ESS1e06_7",1,"6.7","23.11.2023",100220,"GB",1.5768,2.3146055,2.3268416,5.3857203,,,,6,1,4,,,51,10,
"ESS1e06_7",1,"6.7","23.11.2023",100221,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,2,4,0,,,43,3,
"ESS1e06_7",1,"6.7","23.11.2023",100301,"GB",0.5256,0.8279003,2.3268416,1.9263928,,,,0,0,0,,,34,1,
"ESS1e06_7",1,"6.7","23.11.2023",100302,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,4,3,6,,,31,77,
"ESS1e06_7",1,"6.7","23.11.2023",100304,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,6,3,2,,,49,9,
"ESS1e06_7",1,"6.7","23.11.2023",100305,"GB",0.5256,0.81613564,2.3268416,1.8990184,,,,7,7,6,,,48,6,
"ESS1e06_7",1,"6.7","23.11.2023",100310,"GB",0.5256,0.81613564,2.3268416,1.8990184,,,,5,8,5,,,53,1,
"ESS1e06_7",1,"6.7","23.11.2023",100313,"GB",0.5256,0.8082622,2.3268416,1.8806982,,,,2,5,2,,,999,77,
"ESS1e06_7",1,"6.7","23.11.2023",100314,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,5,5,2,,,32,6,
