"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stfgov","trstlgl","trstplt","trstprt","age","agea","hinctnt","hinctnta"
"ESS1e06_7",1,"6.7","23.11.2023",1,"CH",0.514,0.514995,0.29629755,0.15259175,,,,4,4,5,,,69,77,
"ESS1e06_7",1,"6.7","23.11.2023",2,"CH",0.514,0.41323867,0.29629755,0.122441605,,,,4,8,6,,,46,9,
"ESS1e06_7",1,"6.7","23.11.2023",7,"CH",0.514,0.48027143,0.29629755,0.14230324,,,,9,4,6,,,29,77,
"ESS1e06_7",1,"6.7","23.11.2023",10,"CH",1.028,1.0464283,0.29629755,0.31005415,,,,6,7,6,,,25,77,
"ESS1e06_7",1,"6.7","23.11.2023",14,"CH",2.0559,1.9209923,0.29629755,0.5691853,,,,3,4,3,,,18,12,
"ESS1e06_7",1,"6.7","23.11.2023",22,"CH",1.028,0.82647735,0.29629755,0.24488321,,,,5,8,5,,,37,10,
"ESS1e06_7",1,"6.7","23.11.2023",29,"CH",1.028,0.82647735,0.29629755,0.24488321,,,,6,8,8,,,50,9,
"ESS1e06_7",1,"6.7","23.11.2023",33,"CH",0.514,0.377917,0.29629755,0.11197588,,,,8,6,4,,,46,77,
"ESS1e06_7",1,"6.7","23.11.2023",34,"CH",0.514,0.52321416,0.29629755,0.15502708,,,,7,88,2,,,23,77,
"ESS1e06_7",1,"6.7","23.11.2023",35,"CH",0.514,0.514995,0.29629755,0.15259175,,,,7,7,5,,,64,77,
"ESS1e06_7",1,"6.7","23.11.2023",37,"CH",0.514,0.514995,0.29629755,0.15259175,,,,6,6,3,,,55,7,
"ESS1e06_7",1,"6.7","23.11.2023",38,"CH",0.514,0.514995,0.29629755,0.15259175,,,,8,0,8,,,65,6,
"ESS1e06_7",1,"6.7","23.11.2023",39,"CH",1.542,1.133751,0.29629755,0.33592767,,,,8,8,5,,,52,7,
"ESS1e06_7",1,"6.7","23.11.2023",40,"CH",1.542,1.5696425,0.29629755,0.46508124,,,,7,9,8,,,17,77,
"ESS1e06_7",1,"6.7","23.11.2023",42,"CH",0.514,0.377917,0.29629755,0.11197588,,,,4,6,4,,,47,9,
"ESS1e06_7",1,"6.7","23.11.2023",48,"CH",0.514,0.514995,0.29629755,0.15259175,,,,8,5,7,,,64,5,
"ESS1e06_7",1,"6.7","23.11.2023",49,"CH",0.514,0.52321416,0.29629755,0.15502708,,,,5,8,4,,,25,88,
"ESS1e06_7",1,"6.7","23.11.2023",50,"CH",1.028,1.02999,0.29629755,0.3051835,,,,3,0,0,,,83,77,
